READING DURNG FIRE RAMPUP
GAS ADC Value: 570
Temp: 4.2C  Hum: 60.0%
GAS ADC Value: 568
Temp: 4.2C  Hum: 60.0%
GAS ADC Value: 568
Temp: 4.2C  Hum: 60.0%
GVGAS ADC Value: 536
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 541
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 539
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 541
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 539
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 547
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 543
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 543
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 540
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 546
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 542
Temp: 4.2C  Hum: 60.3%
GAS ADC Value: 542
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 540
Temp: 4.2C  Hum: 60.5%
GAS ADC Value: 535
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 536
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 537
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 538
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 540
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 535
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 537
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 542
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 544
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 542
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 538
Temp: 4.2C  Hum: 60.4%
GAS ADC Value: 540
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 535
Temp: 4.2C  Hum: 60.5%
GAS ADC Value: 537
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 539
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 547
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 537
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 539
Temp: 4.2C  Hum: 60.5%
GAS ADC Value: 538
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 533
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 532
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 540
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 534
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 536
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 547
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 535
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 534
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 538
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 536
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 534
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 538
Temp: 4.1C  Hum: 60.4%
GAS ADC Value: 545
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 535
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 535
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 540
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 534
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 534
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 541
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 539
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 537
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 543
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 539
Temp: 4.1C  Hum: 60.5%
GAS ADC Value: 538
Temp: 4.1C  Hum: 60.6%
GAS ADC Value: 539
Temp: 4.1C  Hum: 60.5%
