temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.3230769230769231,2.5999999999999996
4.5,59.4,620,0,0.85,2,0.9399999999999998,2,0.3076923076923077,2.5999999999999996
4.5,59.4,620,0,0.85,2,0.9399999999999998,2,0.3076923076923077,2.5999999999999996
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.36923076923076925,2.5999999999999996
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.35384615384615387,2.5999999999999996
4.5,59.4,621,0,0.85,2,0.9399999999999998,2,0.2923076923076923,2.6551515151515144
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.35384615384615387,2.5999999999999996
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.3384615384615385,2.5999999999999996
4.5,59.4,613,0,0.85,2,0.9399999999999998,2,0.4153846153846154,2.5999999999999996
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.3230769230769231,2.5999999999999996
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.3230769230769231,2.5999999999999996
4.5,59.4,626,0,0.85,2,0.9399999999999998,2,0.2153846153846154,2.887368421052631
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.36923076923076925,2.5999999999999996
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.3384615384615385,2.5999999999999996
4.5,59.4,614,0,0.85,2,0.9399999999999998,2,0.4,2.6
4.5,59.5,623,0,0.85,2,0.95,2,0.26153846153846155,2.756
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.3384615384615385,2.5999999999999996
4.5,59.4,615,0,0.85,2,0.9399999999999998,2,0.38461538461538464,2.5999999999999996
4.5,59.4,621,0,0.85,2,0.9399999999999998,2,0.2923076923076923,2.6551515151515144
4.5,59.4,612,0,0.85,2,0.9399999999999998,2,0.4307692307692308,2.5999999999999996
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.35384615384615387,2.5999999999999996
4.5,59.4,612,0,0.85,2,0.9399999999999998,2,0.4307692307692308,2.5999999999999996
