temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.41333333333333333,2.5999999999999996
4.5,59.4,620,0,0.85,2,0.9399999999999998,2,0.4,2.6
4.5,59.4,620,0,0.85,2,0.9399999999999998,2,0.4,2.6
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.4533333333333333,2.5999999999999996
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.44,2.5999999999999996
4.5,59.4,621,0,0.85,2,0.9399999999999998,2,0.38666666666666666,2.5999999999999996
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.44,2.5999999999999996
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.4266666666666667,2.5999999999999996
4.5,59.4,613,0,0.85,2,0.9399999999999998,2,0.49333333333333335,2.5999999999999996
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.41333333333333333,2.5999999999999996
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.41333333333333333,2.5999999999999996
4.5,59.4,626,0,0.85,2,0.9399999999999998,2,0.32,2.5999999999999996
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.4533333333333333,2.5999999999999996
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.4266666666666667,2.5999999999999996
4.5,59.4,614,0,0.85,2,0.9399999999999998,2,0.48,2.5999999999999996
4.5,59.5,623,0,0.85,2,0.95,2,0.36,2.6
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.4266666666666667,2.5999999999999996
4.5,59.4,615,0,0.85,2,0.9399999999999998,2,0.4666666666666667,2.5999999999999996
4.5,59.4,621,0,0.85,2,0.9399999999999998,2,0.38666666666666666,2.5999999999999996
4.5,59.4,612,0,0.85,2,0.9399999999999998,2,0.5066666666666667,2.5999999999999996
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.44,2.5999999999999996
4.5,59.4,612,0,0.85,2,0.9399999999999998,2,0.5066666666666667,2.5999999999999996
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.4533333333333333,2.5999999999999996
4.5,59.4,613,0,0.85,2,0.9399999999999998,2,0.49333333333333335,2.5999999999999996
4.5,59.5,623,0,0.85,2,0.95,2,0.36,2.6
4.5,59.4,641,0,0.85,2,0.9399999999999998,3,0.275,3.0873417721518983
4.5,59.4,641,0,0.85,2,0.9399999999999998,3,0.275,3.0873417721518983
4.5,59.4,640,0,0.85,2,0.9399999999999998,3,0.25,3.0565217391304347
4.5,59.4,646,0,0.85,2,0.9399999999999998,3,0.4,3.217647058823529
4.5,59.5,637,0,0.85,2,0.95,3,0.175,2.9516746411483252
4.4,59.4,637,0,0.8533333333333334,2,0.9399999999999998,3,0.175,2.9516746411483252
4.5,59.5,638,0,0.85,2,0.95,3,0.2,2.988888888888889
4.4,59.5,638,0,0.8533333333333334,2,0.95,3,0.2,2.988888888888889
4.5,59.5,639,0,0.85,2,0.95,3,0.225,3.0237668161434974
4.4,59.5,644,0,0.8533333333333334,2,0.95,3,0.35,3.169767441860465
4.5,59.5,638,0,0.85,2,0.95,3,0.2,2.988888888888889
4.4,59.5,634,0,0.8533333333333334,2,0.95,2,0.21333333333333335,2.8234042553191485
4.4,59.5,634,0,0.8533333333333334,2,0.95,2,0.21333333333333335,2.8234042553191485
4.4,59.5,635,0,0.8533333333333334,2,0.95,2,0.2,2.8692307692307693
4.4,59.6,637,0,0.8533333333333334,2,0.9600000000000002,3,0.175,2.9516746411483252
4.4,59.5,636,0,0.8533333333333334,2,0.95,2,0.18666666666666668,2.911881188118812
4.4,59.5,637,0,0.8533333333333334,2,0.95,3,0.175,2.9516746411483252
4.4,59.5,656,0,0.8533333333333334,2,0.95,3,0.65,3.3
4.4,59.5,638,0,0.8533333333333334,2,0.95,3,0.2,2.988888888888889
