temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.7,59.3,238,0,0.8433333333333334,2,0.9299999999999997,0,0.524,1.2000000000000002
4.7,59.4,272,0,0.8433333333333334,2,0.9399999999999998,0,0.456,1.2000000000000002
4.7,59.3,289,0,0.8433333333333334,2,0.9299999999999997,0,0.422,1.2000000000000002
4.7,59.3,311,0,0.8433333333333334,2,0.9299999999999997,0,0.378,1.3016166281755197
4.7,59.3,347,0,0.8433333333333334,2,0.9299999999999997,0,0.306,1.5475046210720889
4.7,59.3,359,0,0.8433333333333334,2,0.9299999999999997,1,0.295,1.609012131715771
4.7,59.2,377,0,0.8433333333333334,2,0.9200000000000003,1,0.385,1.6881141045958796
4.7,59.2,400,0,0.8433333333333334,2,0.9200000000000003,1,0.5,1.7714285714285718
4.7,59.2,418,0,0.8433333333333334,2,0.9200000000000003,1,0.59,1.8259946949602122
4.7,59.1,431,0,0.8433333333333334,2,0.9100000000000001,1,0.655,1.8607818411097097
4.7,59.2,450,0,0.8433333333333334,2,0.9200000000000003,1,0.75,1.9058823529411768
4.7,59.1,463,0,0.8433333333333334,2,0.9100000000000001,1,0.815,1.9334083239595055
4.8,59.1,488,0,0.84,2,0.9100000000000001,1,0.94,1.9800829875518673
4.8,59.1,492,0,0.84,2,0.9100000000000001,1,0.96,1.9868852459016395
4.8,59.1,516,0,0.84,2,0.9100000000000001,1,0.84,2.0
4.8,59.0,514,0,0.84,2,0.9,1,0.86,2.0
4.8,59.1,521,0,0.84,2,0.9100000000000001,1,0.79,2.0
4.8,59.0,542,0,0.84,2,0.9,1,0.58,2.0
4.7,59.0,541,0,0.8433333333333334,2,0.9,1,0.59,2.0
4.8,59.0,548,0,0.84,2,0.9,1,0.52,2.0
4.8,58.9,570,0,0.84,2,0.8899999999999999,2,0.6666666666666666,2.5517241379310347
4.8,58.9,567,0,0.84,2,0.8899999999999999,2,0.4666666666666667,2.4686192468619246
4.8,58.8,573,0,0.84,2,0.8799999999999997,2,0.8666666666666667,2.609970674486804
4.8,58.8,578,0,0.84,2,0.8799999999999997,2,0.96,2.6508474576271186
4.8,58.8,586,0,0.84,2,0.8799999999999997,2,0.8533333333333334,2.687248322147651
4.8,58.8,589,0,0.84,2,0.8799999999999997,2,0.8133333333333334,2.704693140794224
4.8,58.8,586,0,0.84,2,0.8799999999999997,2,0.8533333333333334,2.687248322147651
4.8,58.8,590,0,0.84,2,0.8799999999999997,2,0.8,2.7111111111111112
4.8,58.8,591,0,0.84,2,0.8799999999999997,2,0.7866666666666666,2.71787072243346
4.8,58.7,594,0,0.84,2,0.8700000000000003,2,0.7466666666666667,2.7404958677685953
4.8,58.7,599,0,0.84,2,0.8700000000000003,2,0.68,2.7884057971014493
4.8,58.7,603,0,0.84,2,0.8700000000000003,2,0.6266666666666667,2.8000000000000003
4.8,58.6,604,0,0.84,2,0.8600000000000001,2,0.6133333333333333,2.8000000000000003
4.8,58.6,600,0,0.84,2,0.8600000000000001,2,0.6666666666666666,2.8000000000000003
4.8,58.6,602,0,0.84,2,0.8600000000000001,2,0.64,2.8000000000000003
4.8,58.6,605,0,0.84,2,0.8600000000000001,2,0.6,2.8000000000000003
4.8,58.5,604,0,0.84,2,0.85,2,0.6133333333333333,2.8000000000000003
4.8,58.6,616,0,0.84,2,0.8600000000000001,2,0.4533333333333333,2.8000000000000003
4.8,58.5,612,0,0.84,2,0.85,2,0.5066666666666667,2.8000000000000003
4.8,58.4,610,0,0.84,2,0.8399999999999999,2,0.5333333333333333,2.8000000000000003
4.8,58.4,605,0,0.84,2,0.8399999999999999,2,0.6,2.8000000000000003
4.8,58.4,604,0,0.84,2,0.8399999999999999,2,0.6133333333333333,2.8000000000000003
4.8,58.4,610,0,0.84,2,0.8399999999999999,2,0.5333333333333333,2.8000000000000003
4.7,58.4,611,0,0.8433333333333334,2,0.8399999999999999,2,0.52,2.8000000000000003
4.8,58.4,615,0,0.84,2,0.8399999999999999,2,0.4666666666666667,2.8
4.8,58.3,610,0,0.84,2,0.8299999999999997,2,0.5333333333333333,2.8000000000000003
4.8,58.3,617,0,0.84,2,0.8299999999999997,2,0.44,2.8000000000000003
4.8,58.3,613,0,0.84,2,0.8299999999999997,2,0.49333333333333335,2.8000000000000003
4.8,58.3,613,0,0.84,2,0.8299999999999997,2,0.49333333333333335,2.8000000000000003
4.8,58.3,614,0,0.84,2,0.8299999999999997,2,0.48,2.8000000000000003
4.7,58.2,610,0,0.8433333333333334,2,0.8200000000000003,2,0.5333333333333333,2.8000000000000003
4.8,58.2,619,0,0.84,2,0.8200000000000003,2,0.41333333333333333,2.8000000000000003
4.8,58.2,618,0,0.84,2,0.8200000000000003,2,0.4266666666666667,2.8000000000000003
4.7,58.2,617,0,0.8433333333333334,2,0.8200000000000003,2,0.44,2.8000000000000003
4.7,58.2,612,0,0.8433333333333334,2,0.8200000000000003,2,0.5066666666666667,2.8000000000000003
4.7,58.2,608,0,0.8433333333333334,2,0.8200000000000003,2,0.56,2.8000000000000003
4.7,58.2,614,0,0.8433333333333334,2,0.8200000000000003,2,0.48,2.8000000000000003
4.8,58.2,614,0,0.84,2,0.8200000000000003,2,0.48,2.8000000000000003
4.7,58.1,613,0,0.8433333333333334,2,0.8100000000000002,2,0.49333333333333335,2.8000000000000003
4.7,58.1,625,0,0.8433333333333334,2,0.8100000000000002,2,0.3333333333333333,2.8000000000000003
4.7,58.1,615,0,0.8433333333333334,2,0.8100000000000002,2,0.4666666666666667,2.8
4.7,58.1,616,0,0.8433333333333334,2,0.8100000000000002,2,0.4533333333333333,2.8000000000000003
4.7,58.1,611,0,0.8433333333333334,2,0.8100000000000002,2,0.52,2.8000000000000003
4.7,58.1,614,0,0.8433333333333334,2,0.8100000000000002,2,0.48,2.8000000000000003
4.7,58.1,613,0,0.8433333333333334,2,0.8100000000000002,2,0.49333333333333335,2.8000000000000003
4.7,58.1,614,0,0.8433333333333334,2,0.8100000000000002,2,0.48,2.8000000000000003
4.7,58.0,620,0,0.8433333333333334,2,0.8,2,0.4,2.8000000000000003
4.7,58.0,616,0,0.8433333333333334,2,0.8,2,0.4533333333333333,2.8000000000000003
4.7,58.1,613,0,0.8433333333333334,2,0.8100000000000002,2,0.49333333333333335,2.8000000000000003
4.7,58.0,622,0,0.8433333333333334,2,0.8,2,0.37333333333333335,2.8000000000000003
4.7,57.9,613,0,0.8433333333333334,2,0.7899999999999998,2,0.49333333333333335,2.8000000000000003
4.7,58.0,618,0,0.8433333333333334,2,0.8,2,0.4266666666666667,2.8000000000000003
4.7,58.0,616,0,0.8433333333333334,2,0.8,2,0.4533333333333333,2.8000000000000003
4.7,58.0,612,0,0.8433333333333334,2,0.8,2,0.5066666666666667,2.8000000000000003
4.7,58.0,615,0,0.8433333333333334,2,0.8,2,0.4666666666666667,2.8
4.7,58.0,611,0,0.8433333333333334,2,0.8,2,0.52,2.8000000000000003
4.7,58.0,616,0,0.8433333333333334,2,0.8,2,0.4533333333333333,2.8000000000000003
4.7,58.0,613,0,0.8433333333333334,2,0.8,2,0.49333333333333335,2.8000000000000003
4.6,57.9,615,0,0.8466666666666666,2,0.7899999999999998,2,0.4666666666666667,2.8
4.7,58.0,612,0,0.8433333333333334,2,0.8,2,0.5066666666666667,2.8000000000000003
4.7,57.9,620,0,0.8433333333333334,2,0.7899999999999998,2,0.4,2.8000000000000003
4.7,58.0,614,0,0.8433333333333334,2,0.8,2,0.48,2.8000000000000003
4.7,57.9,609,0,0.8433333333333334,2,0.7899999999999998,2,0.5466666666666666,2.8000000000000003
4.7,57.9,614,0,0.8433333333333334,2,0.7899999999999998,2,0.48,2.8000000000000003
4.7,58.0,615,0,0.8433333333333334,2,0.8,2,0.4666666666666667,2.8
4.6,58.0,614,0,0.8466666666666666,2,0.8,2,0.48,2.8000000000000003
4.7,58.0,601,0,0.8433333333333334,2,0.8,2,0.6533333333333333,2.8000000000000003
4.7,57.9,611,0,0.8433333333333334,2,0.7899999999999998,2,0.52,2.8000000000000003
4.7,57.9,611,0,0.8433333333333334,2,0.7899999999999998,2,0.52,2.8000000000000003
4.6,57.9,608,0,0.8466666666666666,2,0.7899999999999998,2,0.56,2.8000000000000003
4.7,57.9,615,0,0.8433333333333334,2,0.7899999999999998,2,0.4666666666666667,2.8
4.6,57.9,606,0,0.8466666666666666,2,0.7899999999999998,2,0.5866666666666667,2.8000000000000003
4.6,57.9,609,0,0.8466666666666666,2,0.7899999999999998,2,0.5466666666666666,2.8000000000000003
4.7,57.9,612,0,0.8433333333333334,2,0.7899999999999998,2,0.5066666666666667,2.8000000000000003
4.6,57.9,611,0,0.8466666666666666,2,0.7899999999999998,2,0.52,2.8000000000000003
4.6,57.9,614,0,0.8466666666666666,2,0.7899999999999998,2,0.48,2.8000000000000003
4.6,57.9,608,0,0.8466666666666666,2,0.7899999999999998,2,0.56,2.8000000000000003
4.6,57.9,607,0,0.8466666666666666,2,0.7899999999999998,2,0.5733333333333334,2.8000000000000003
4.6,57.9,605,0,0.8466666666666666,2,0.7899999999999998,2,0.6,2.8000000000000003
4.6,57.9,623,0,0.8466666666666666,2,0.7899999999999998,2,0.36,2.8000000000000003
4.6,58.0,608,0,0.8466666666666666,2,0.8,2,0.56,2.8000000000000003
4.6,57.9,613,0,0.8466666666666666,2,0.7899999999999998,2,0.49333333333333335,2.8000000000000003
4.6,57.9,608,0,0.8466666666666666,2,0.7899999999999998,2,0.56,2.8000000000000003
4.6,57.9,624,0,0.8466666666666666,2,0.7899999999999998,2,0.3466666666666667,2.8000000000000003
4.6,57.9,610,0,0.8466666666666666,2,0.7899999999999998,2,0.5333333333333333,2.8000000000000003
4.6,57.9,612,0,0.8466666666666666,2,0.7899999999999998,2,0.5066666666666667,2.8000000000000003
4.6,57.9,612,0,0.8466666666666666,2,0.7899999999999998,2,0.5066666666666667,2.8000000000000003
4.6,57.9,613,0,0.8466666666666666,2,0.7899999999999998,2,0.49333333333333335,2.8000000000000003
4.6,57.9,607,0,0.8466666666666666,2,0.7899999999999998,2,0.5733333333333334,2.8000000000000003
4.6,57.9,606,0,0.8466666666666666,2,0.7899999999999998,2,0.5866666666666667,2.8000000000000003
4.6,57.9,605,0,0.8466666666666666,2,0.7899999999999998,2,0.6,2.8000000000000003
